timestamp,target_1d_price,target_3d_price,target_7d_price
2024-11-29,96449.0546875,95865.3046875,99920.7109375
2024-11-30,97279.7890625,96002.1640625,99923.3359375
2024-12-01,95865.3046875,98768.53125,101236.015625
2024-12-02,96002.1640625,96593.5703125,97432.71875
2024-12-03,98768.53125,99920.7109375,96675.4296875
2024-12-04,96593.5703125,99923.3359375,101173.03125
2024-12-05,99920.7109375,101236.015625,100043.0
2024-12-06,99923.3359375,97432.71875,101459.2578125
2024-12-07,101236.015625,96675.4296875,101372.96875
2024-12-08,97432.71875,101173.03125,104298.6953125
2024-12-09,96675.4296875,100043.0,106029.71875
2024-12-10,101173.03125,101459.2578125,106140.6015625
2024-12-11,100043.0,101372.96875,100041.5390625
2024-12-12,101459.2578125,104298.6953125,97490.953125
2024-12-13,101372.96875,106029.71875,97755.9296875
2024-12-14,104298.6953125,106140.6015625,97224.7265625
2024-12-15,106029.71875,100041.5390625,95104.9375
2024-12-16,106140.6015625,97490.953125,94686.2421875
2024-12-17,100041.5390625,97755.9296875,98676.09375
2024-12-18,97490.953125,97224.7265625,99299.1953125
2024-12-19,97755.9296875,95104.9375,95795.515625
2024-12-20,97224.7265625,94686.2421875,94164.859375
2024-12-21,95104.9375,98676.09375,95163.9296875
2024-12-22,94686.2421875,99299.1953125,93530.2265625
2024-12-23,98676.09375,95795.515625,92643.2109375
2024-12-24,99299.1953125,94164.859375,93429.203125
2024-12-25,95795.515625,95163.9296875,94419.7578125
2024-12-26,94164.859375,93530.2265625,96886.875
2024-12-27,95163.9296875,92643.2109375,98107.4296875
2024-12-28,93530.2265625,93429.203125,98236.2265625
2024-12-29,92643.2109375,94419.7578125,98314.9609375
2024-12-30,93429.203125,96886.875,102078.0859375
2024-12-31,94419.7578125,98107.4296875,96922.703125
2025-01-01,96886.875,98236.2265625,95043.5234375
2025-01-02,98107.4296875,98314.9609375,92484.0390625
2025-01-03,98236.2265625,102078.0859375,94701.453125
2025-01-04,98314.9609375,96922.703125,94566.59375
2025-01-05,102078.0859375,95043.5234375,94488.4375
2025-01-06,96922.703125,92484.0390625,94516.5234375
2025-01-07,95043.5234375,94701.453125,96534.046875
2025-01-08,92484.0390625,94566.59375,100504.4921875
2025-01-09,94701.453125,94488.4375,99756.90625
2025-01-10,94566.59375,94516.5234375,104462.0390625
2025-01-11,94488.4375,96534.046875,104408.0703125
2025-01-12,94516.5234375,100504.4921875,101089.609375
2025-01-13,96534.046875,99756.90625,102016.6640625
2025-01-14,100504.4921875,104462.0390625,106146.265625
2025-01-15,99756.90625,104408.0703125,103653.0703125
2025-01-16,104462.0390625,101089.609375,103960.171875
2025-01-17,104408.0703125,102016.6640625,104819.484375
2025-01-18,101089.609375,106146.265625,104714.6484375
2025-01-19,102016.6640625,103653.0703125,102682.5
2025-01-20,106146.265625,103960.171875,102087.6875
2025-01-21,103653.0703125,104819.484375,101332.4765625
2025-01-22,103960.171875,104714.6484375,103703.2109375
2025-01-23,104819.484375,102682.5,104735.3046875
2025-01-24,104714.6484375,102087.6875,102405.0234375
2025-01-25,102682.5,101332.4765625,100655.90625
2025-01-26,102087.6875,103703.2109375,97688.9765625
2025-01-27,101332.4765625,104735.3046875,101405.421875
2025-01-28,103703.2109375,102405.0234375,97871.8203125
2025-01-29,104735.3046875,100655.90625,96615.4453125
2025-01-30,102405.0234375,97688.9765625,96593.296875
2025-01-31,100655.90625,101405.421875,96529.0859375
2025-02-01,97688.9765625,97871.8203125,96482.453125
2025-02-02,101405.421875,96615.4453125,96500.09375
2025-02-03,97871.8203125,96593.296875,97437.5546875
2025-02-04,96615.4453125,96529.0859375,95747.4296875
2025-02-05,96593.296875,96482.453125,97885.859375
2025-02-06,96529.0859375,96500.09375,96623.8671875
2025-02-07,96482.453125,97437.5546875,97508.96875
2025-02-08,96500.09375,95747.4296875,97580.3515625
2025-02-09,97437.5546875,97885.859375,96175.03125
2025-02-10,95747.4296875,96623.8671875,95773.3828125
2025-02-11,97885.859375,97508.96875,95539.546875
2025-02-12,96623.8671875,97580.3515625,96635.609375
2025-02-13,97508.96875,96175.03125,98333.9375
2025-02-14,97580.3515625,95773.3828125,96125.546875
2025-02-15,96175.03125,95539.546875,96577.7578125
2025-02-16,95773.3828125,96635.609375,96273.921875
2025-02-17,95539.546875,98333.9375,91418.171875
2025-02-18,96635.609375,96125.546875,88736.171875
2025-02-19,98333.9375,96577.7578125,84347.0234375
2025-02-20,96125.546875,96273.921875,84704.2265625
2025-02-21,96577.7578125,91418.171875,84373.0078125
2025-02-22,96273.921875,88736.171875,86031.9140625
2025-02-23,91418.171875,84347.0234375,94248.3515625
2025-02-24,88736.171875,84704.2265625,86065.671875
2025-02-25,84347.0234375,84373.0078125,87222.1953125
2025-02-26,84704.2265625,86031.9140625,90623.5625
2025-02-27,84373.0078125,94248.3515625,89961.7265625
2025-02-28,86031.9140625,86065.671875,86742.671875
2025-03-01,94248.3515625,87222.1953125,86154.59375
2025-03-02,86065.671875,90623.5625,80601.0390625
2025-03-03,87222.1953125,89961.7265625,78532.0
2025-03-04,90623.5625,86742.671875,82862.2109375
2025-03-05,89961.7265625,86154.59375,83722.359375
2025-03-06,86742.671875,80601.0390625,81066.703125
2025-03-07,86154.59375,78532.0,83969.1015625
2025-03-08,80601.0390625,82862.2109375,84343.109375
2025-03-09,78532.0,83722.359375,82579.6875
2025-03-10,82862.2109375,81066.703125,84075.6875
2025-03-11,83722.359375,83969.1015625,82718.5
2025-03-12,81066.703125,84343.109375,86854.2265625
2025-03-13,83969.1015625,82579.6875,84167.1953125
2025-03-14,84343.109375,84075.6875,84043.2421875
2025-03-15,82579.6875,82718.5,83832.484375
2025-03-16,84075.6875,86854.2265625,86054.375
2025-03-17,82718.5,84167.1953125,87498.9140625
2025-03-18,86854.2265625,84043.2421875,87471.703125
2025-03-19,84167.1953125,83832.484375,86900.8828125
2025-03-20,84043.2421875,86054.375,87177.1015625
2025-03-21,83832.484375,87498.9140625,84353.1484375
2025-03-22,86054.375,87471.703125,82597.5859375
2025-03-23,87498.9140625,86900.8828125,82334.5234375
2025-03-24,87471.703125,87177.1015625,82548.9140625
2025-03-25,86900.8828125,84353.1484375,85169.171875
2025-03-26,87177.1015625,82597.5859375,82485.7109375
2025-03-27,84353.1484375,82334.5234375,83102.828125
2025-03-28,82597.5859375,82548.9140625,83843.8046875
2025-03-29,82334.5234375,85169.171875,83504.796875
2025-03-30,82548.9140625,82485.7109375,78214.484375
2025-03-31,85169.171875,83102.828125,79235.3359375
2025-04-01,82485.7109375,83843.8046875,76271.953125
2025-04-02,83102.828125,83504.796875,82573.953125
2025-04-03,83843.8046875,78214.484375,79626.140625
